city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,missing,Pvt Ltd,never,31.37214456,1
city_21,0.616794885,Male,No relevent experience,Full time course,Graduate,STEM,<1,missing,missing,1,63.98890487,1
city_73,0.754,Male,No relevent experience,Full time course,Graduate,STEM,<1,missing,missing,never,19,1
city_57,0.866,Male,No relevent experience,no_enrollment,Phd,STEM,9,100-500,Pvt Ltd,>4,53,0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,>4,108,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,5000-9999,Pvt Ltd,>4,11,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,missing,missing,3,43,0
city_114,0.926,Male,No relevent experience,no_enrollment,missing,missing,9,missing,missing,never,30,1
city_100,0.887,Male,Has relevent experience,no_enrollment,High School,missing,17,100-500,Pvt Ltd,1,133,0
city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,152,0
city_102,0.804,Male,Has relevent experience,Full time course,Graduate,STEM,6,500-999,Pvt Ltd,1,86,0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,5,missing,Pvt Ltd,never,6,1
city_21,0.624,missing,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,never,35,1
city_21,0.624,missing,Has relevent experience,no_enrollment,Masters,STEM,3,100-500,Pvt Ltd,3,40,1
city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,10,missing,missing,2,8,0
city_21,0.834880813,Male,No relevent experience,Full time course,High School,missing,<1,missing,missing,never,150.649361,1
city_103,0.92,Male,No relevent experience,no_enrollment,missing,missing,7,missing,Pvt Ltd,never,108,0
city_11,0.55,Male,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,NGO,1,166,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,missing,2,25,0
city_61,0.913,Male,No relevent experience,Full time course,High School,missing,2,500-999,Public Sector,2,26,1
city_16,0.91,Other,Has relevent experience,no_enrollment,Graduate,STEM,11,missing,missing,1,82,0
city_71,0.827981776,missing,Has relevent experience,no_enrollment,Graduate,STEM,16,missing,missing,1,28.506085,1
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,missing,missing,never,100,0
city_100,0.887,missing,No relevent experience,Full time course,Masters,STEM,3,missing,Public Sector,1,30,1
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,9,1000-4999,Pvt Ltd,1,82,0
city_28,0.939,Male,No relevent experience,no_enrollment,Phd,STEM,>20,<10,Pvt Ltd,>4,98,0
city_103,0.850120842,Male,No relevent experience,Full time course,Graduate,STEM,3,missing,missing,never,49.58231606,1
